Size,Trial,Algorithm,Time_ms,Nodes_Expanded,Path_Length,Success
10,0,BFS,0.1196,31,25,True
10,0,DFS,0.0704,31,25,True
10,0,A* (Manhattan),0.2743,26,25,True
10,0,A* (Euclidean),0.0827,27,25,True
10,0,MDP (Value Iter.),3.1406,50,25,True
10,0,MDP (Policy Iter.),3.2468,50,25,True
20,0,BFS,0.3862,155,111,True
20,0,DFS,0.4197,195,111,True
20,0,A* (Manhattan),0.3904,134,111,True
20,0,A* (Euclidean),0.4445,134,111,True
20,0,MDP (Value Iter.),33.8772,200,111,True
20,0,MDP (Policy Iter.),33.08,200,111,True
30,0,BFS,0.7884,445,261,True
30,0,DFS,0.5197,409,261,True
30,0,A* (Manhattan),0.7968,417,261,True
30,0,A* (Euclidean),0.8179,420,261,True
30,0,MDP (Value Iter.),173.808,450,261,True
30,0,MDP (Policy Iter.),156.6403,450,261,True
40,0,BFS,0.3988,303,193,True
40,0,DFS,0.396,317,193,True
40,0,A* (Manhattan),0.4222,238,193,True
40,0,A* (Euclidean),0.4826,260,193,True
40,0,MDP (Value Iter.),337.6909,800,193,True
40,0,MDP (Policy Iter.),289.9727,800,193,True
50,0,BFS,0.9486,741,423,True
50,0,DFS,1.5179,1195,423,True
50,0,A* (Manhattan),1.2783,690,423,True
50,0,A* (Euclidean),1.4193,702,423,True
50,0,MDP (Value Iter.),530.4595,1250,3,True
50,0,MDP (Policy Iter.),669.2013,1250,423,True
60,0,BFS,0.4274,302,233,True
60,0,DFS,2.2499,1798,233,True
60,0,A* (Manhattan),0.4683,258,233,True
60,0,A* (Euclidean),0.4842,261,233,True
60,0,MDP (Value Iter.),763.9271,1800,235,True
60,0,MDP (Policy Iter.),954.3697,1800,233,True
70,0,BFS,3.0557,2338,1269,True
70,0,DFS,2.7641,1850,1269,True
70,0,A* (Manhattan),4.1135,2218,1269,True
70,0,A* (Euclidean),4.3115,2240,1269,True
70,0,MDP (Value Iter.),1026.6482,2450,3,True
70,0,MDP (Policy Iter.),1083.9377,2450,3,True
80,0,BFS,2.9953,2193,997,True
80,0,DFS,3.7513,2999,997,True
80,0,A* (Manhattan),4.1513,2094,997,True
80,0,A* (Euclidean),4.2111,2100,997,True
80,0,MDP (Value Iter.),1334.0387,3200,3,True
80,0,MDP (Policy Iter.),2571.5545,3200,3,True
90,0,BFS,1.9082,1484,897,True
90,0,DFS,5.0081,4032,897,True
90,0,A* (Manhattan),2.4473,1351,897,True
90,0,A* (Euclidean),2.5763,1367,897,True
90,0,MDP (Value Iter.),1700.6573,4050,3,True
90,0,MDP (Policy Iter.),2287.9715,4050,3,True
100,0,BFS,2.7704,1961,1403,True
100,0,DFS,6.2323,4764,1403,True
100,0,A* (Manhattan),3.4978,1926,1403,True
100,0,A* (Euclidean),3.6462,1927,1403,True
100,0,MDP (Value Iter.),2115.3628,5000,3,True
100,0,MDP (Policy Iter.),4115.8006,5000,3,True
