Size,Type,Trial,Algorithm,Time_ms,Nodes_Expanded,Path_Length,Success
10,Imperfect,0,BFS,0.3453,36,21,True
10,Imperfect,0,DFS,0.0697,40,21,True
10,Imperfect,0,A* (Manhattan),0.2363,35,21,True
10,Imperfect,0,A* (Euclidean),0.0715,35,21,True
10,Imperfect,0,MDP (Value Iter.),1.9673,54,21,True
10,Imperfect,0,MDP (Policy Iter.),12.1202,54,21,True
20,Imperfect,0,BFS,0.2691,192,49,True
20,Imperfect,0,DFS,0.2362,185,75,True
20,Imperfect,0,A* (Manhattan),0.2999,156,49,True
20,Imperfect,0,A* (Euclidean),0.332,168,49,True
20,Imperfect,0,MDP (Value Iter.),18.4424,213,49,True
20,Imperfect,0,MDP (Policy Iter.),61.4638,213,49,True
30,Imperfect,0,BFS,0.3916,294,65,True
30,Imperfect,0,DFS,0.4911,384,163,True
30,Imperfect,0,A* (Manhattan),0.3927,196,65,True
30,Imperfect,0,A* (Euclidean),0.7338,235,65,True
30,Imperfect,0,MDP (Value Iter.),56.3934,476,66,True
30,Imperfect,0,MDP (Policy Iter.),154.8042,476,65,True
40,Imperfect,0,BFS,1.0092,740,101,True
40,Imperfect,0,DFS,0.7852,620,373,True
40,Imperfect,0,A* (Manhattan),0.6461,287,101,True
40,Imperfect,0,A* (Euclidean),0.818,383,101,True
40,Imperfect,0,MDP (Value Iter.),141.0028,853,101,True
40,Imperfect,0,MDP (Policy Iter.),327.1465,853,101,True
50,Imperfect,0,BFS,1.7013,1290,209,True
50,Imperfect,0,DFS,1.5237,1236,275,True
50,Imperfect,0,A* (Manhattan),2.005,1072,209,True
50,Imperfect,0,A* (Euclidean),2.2133,1118,209,True
50,Imperfect,0,MDP (Value Iter.),414.4127,1315,209,True
50,Imperfect,0,MDP (Policy Iter.),937.0349,1315,209,True
60,Imperfect,0,BFS,4.0508,1859,169,True
60,Imperfect,0,DFS,3.5274,1384,589,True
60,Imperfect,0,A* (Manhattan),4.3222,1200,169,True
60,Imperfect,0,A* (Euclidean),7.1786,1409,169,True
60,Imperfect,0,MDP (Value Iter.),887.6977,1897,171,True
60,Imperfect,0,MDP (Policy Iter.),2263.9292,1897,169,True
70,Imperfect,0,BFS,5.5388,2578,197,True
70,Imperfect,0,DFS,4.9292,2067,779,True
70,Imperfect,0,A* (Manhattan),7.3975,2123,197,True
70,Imperfect,0,A* (Euclidean),8.742,2306,197,True
70,Imperfect,0,MDP (Value Iter.),1365.0875,2596,198,True
70,Imperfect,0,MDP (Policy Iter.),3583.2453,2596,197,True
80,Imperfect,0,BFS,6.3245,2725,237,True
80,Imperfect,0,DFS,6.8323,3097,1067,True
80,Imperfect,0,A* (Manhattan),4.8695,1153,237,True
80,Imperfect,0,A* (Euclidean),5.7713,1522,237,True
80,Imperfect,0,MDP (Value Iter.),2145.9939,3396,237,True
80,Imperfect,0,MDP (Policy Iter.),4895.3984,3396,237,True
90,Imperfect,0,BFS,10.2132,4178,239,True
90,Imperfect,0,DFS,7.1777,2729,1383,True
90,Imperfect,0,A* (Manhattan),12.1008,2900,239,True
90,Imperfect,0,A* (Euclidean),13.8975,3282,239,True
90,Imperfect,0,MDP (Value Iter.),3076.3066,4284,239,True
90,Imperfect,0,MDP (Policy Iter.),6305.2016,4284,239,True
100,Imperfect,0,BFS,12.9844,5235,257,True
100,Imperfect,0,DFS,11.3036,4592,1749,True
100,Imperfect,0,A* (Manhattan),8.9009,2510,257,True
100,Imperfect,0,A* (Euclidean),14.3221,3494,257,True
100,Imperfect,0,MDP (Value Iter.),3763.9143,5287,258,True
100,Imperfect,0,MDP (Policy Iter.),8502.2908,5287,257,True
