Size,Type,Trial,Algorithm,Time_ms,Nodes_Expanded,Path_Length,Success
10,Perfect,0,BFS,0.081,16,15,True
10,Perfect,0,DFS,0.5992,50,15,True
10,Perfect,0,A* (Manhattan),0.7326,15,15,True
10,Perfect,0,A* (Euclidean),0.0377,15,15,True
10,Perfect,0,MDP (Value Iter.),2.9425,50,15,True
10,Perfect,0,MDP (Policy Iter.),3.1827,50,15,True
20,Perfect,0,BFS,0.4759,179,147,True
20,Perfect,0,DFS,0.2237,163,147,True
20,Perfect,0,A* (Manhattan),0.3227,179,147,True
20,Perfect,0,A* (Euclidean),0.3423,179,147,True
20,Perfect,0,MDP (Value Iter.),44.1005,200,147,True
20,Perfect,0,MDP (Policy Iter.),41.0233,200,147,True
30,Perfect,0,BFS,0.7659,366,241,True
30,Perfect,0,DFS,0.7775,440,241,True
30,Perfect,0,A* (Manhattan),0.868,340,241,True
30,Perfect,0,A* (Euclidean),0.9273,343,241,True
30,Perfect,0,MDP (Value Iter.),164.0312,450,242,True
30,Perfect,0,MDP (Policy Iter.),146.5666,450,241,True
40,Perfect,0,BFS,0.3314,247,171,True
40,Perfect,0,DFS,0.4387,353,171,True
40,Perfect,0,A* (Manhattan),0.4028,228,171,True
40,Perfect,0,A* (Euclidean),0.4287,230,171,True
40,Perfect,0,MDP (Value Iter.),283.7848,800,171,True
40,Perfect,0,MDP (Policy Iter.),257.0509,800,171,True
50,Perfect,0,BFS,1.4345,994,433,True
50,Perfect,0,DFS,1.6386,1250,433,True
50,Perfect,0,A* (Manhattan),1.4313,778,433,True
50,Perfect,0,A* (Euclidean),1.6036,847,433,True
50,Perfect,0,MDP (Value Iter.),528.5874,1250,3,True
50,Perfect,0,MDP (Policy Iter.),693.7192,1250,433,True
60,Perfect,0,BFS,0.3663,253,223,True
60,Perfect,0,DFS,0.9927,827,223,True
60,Perfect,0,A* (Manhattan),0.4202,233,223,True
60,Perfect,0,A* (Euclidean),0.4252,233,223,True
60,Perfect,0,MDP (Value Iter.),768.293,1800,223,True
60,Perfect,0,MDP (Policy Iter.),839.885,1800,223,True
70,Perfect,0,BFS,2.5088,1716,1103,True
70,Perfect,0,DFS,2.9013,2344,1103,True
70,Perfect,0,A* (Manhattan),2.9275,1633,1103,True
70,Perfect,0,A* (Euclidean),3.1272,1645,1103,True
70,Perfect,0,MDP (Value Iter.),1026.5694,2450,3,True
70,Perfect,0,MDP (Policy Iter.),1145.9438,2450,3,True
80,Perfect,0,BFS,1.8349,1233,857,True
80,Perfect,0,DFS,3.8317,3037,857,True
80,Perfect,0,A* (Manhattan),2.158,1190,857,True
80,Perfect,0,A* (Euclidean),2.2304,1190,857,True
80,Perfect,0,MDP (Value Iter.),1589.1756,3200,3,True
80,Perfect,0,MDP (Policy Iter.),2541.1902,3200,3,True
90,Perfect,0,BFS,2.4026,1831,1093,True
90,Perfect,0,DFS,4.2511,3567,1093,True
90,Perfect,0,A* (Manhattan),3.535,1821,1093,True
90,Perfect,0,A* (Euclidean),3.4722,1821,1093,True
90,Perfect,0,MDP (Value Iter.),1735.9487,4050,3,True
90,Perfect,0,MDP (Policy Iter.),3392.9747,4050,3,True
100,Perfect,0,BFS,2.7729,2078,1029,True
100,Perfect,0,DFS,6.6089,4914,1029,True
100,Perfect,0,A* (Manhattan),3.6929,1952,1029,True
100,Perfect,0,A* (Euclidean),3.8502,1976,1029,True
100,Perfect,0,MDP (Value Iter.),2328.3006,5000,3,True
100,Perfect,0,MDP (Policy Iter.),4353.1724,5000,3,True
